Year,Pos,Name,Club,Time,Cat
1997,128,Elaine Stewart,Cosmic Hillbasiiers,4:10:24,FV
1997,129,Diana Turner,Solway Orienteers,4:13:03,FV
1997,130,Angela Wood,Standard Life Athletic Club,4:13:45,FV
1997,131,Richard Gatehouse,Lomond Hill Runners,4:14:23,MV
1997,132,Anne Thomson,Cosmic Hill Bashers,4:15:17,FV
1997,133,Gavin Struthers,Westerlands Cross Country Club,4:15:28,MV
1997,134,Jean Cairns,Westerlands Cross Country Club,4:16:12,FV
1997,135,Eric Dodd,Strathtay Harriers,4:17:03,M
1997,136,Marjorie Small,Clydesdale Harriers,4:17:2O,FV
1997,137,Keith Greenwood,Cosmic H1llbashers,4:20:38,MV
1997,138,Alison West,Carnethy HRC,4:20:54,FV
1997,139,Jane Saul,Northumberland Fell Runners,4:22:16,F
1997,140,Jimmy Tomlin,Horpeth,4:24:19,MV
1997,141,Joe Howard,Preston Harriers,4:24:55,MS
1997,142,Tim Doyle,Fairl,4:25:50,M
1997,143,Peter Calboutin,Unattached,4:27:44,MV
1997,144,Mark Silmon,North Shields,4:27:45,M
1997,145,Chris Hall,Road Runners Club,4:29:14,MV
1997,146,William Howarth,Denby Dale Travellers,4:32:48,MV
1997,147,Peter Hunter,Hunters Bog Trotters,4:32:50,MV
1997,148,Isabel Coombs,Westerlands Cross Country Club,4:33:58,FV
1997,149,Duncan McGuire,Fife Athletic Club,4:33:59,MV
1997,150,Noreen Jennison,Westerlands Cross Country Club,4:33:59,FV
1997,151,Carl Lane,Road Runners Club,4:34:20,MS
1997,152,Jack Gillies,Carnethy HRC,4:35:20,MS
1997,153,Don Adan,Fife Athletic Club,4:36:53,MS
1997,154,Serena Michlizzi,Carnethy HRC,4:36:54,F
1997,155,Paula Drollet,Carnethy HRC,4:36:55,FV
1997,156,Joanne Anderson,Carnethy HRC,4:36:56,F
1997,157,R MacDonald,Lasswade Athletic Club,4:42:44,MV
1997,158,Alison Shaw,Abbey Runners,4:43:15,F
1997,159,John Wilkins,Arbroath Footers,4:45:19,MS
1997,160,James McGregor,Dundee Hawkhill Harriers,4:45:38,MV
1997,161,Louise Provan,Dundee Hawkhill Harriers,4:45:39,F
1997,162,Stephen Elliot,Unattached,4:47:55,M
1997,163,Jim Drunond,Central Region Athletic Club,4:50:57,MV
1997,164,John Coon,Livingston and District Athletic Club,4:51:12,MV
1997,165,Frank McLaren,Fife Athletic Club,4:53:24,MV
1997,166,Alastair Robertson,Fife Athletic Club,5:02:04,MS
