Year,Pos,Name,Club,Time,Cat
1996,1,Dermot McGonigle,Shettleston Harriers,2:43:29,M
1996,2,Mark Rigby,Westerlands,2:49:24,M
1996,3,Adam Ward,Carnethy HRC,2:49:53,M
1996,4,M Fleming,Ambleside Athletic Club,2:53:04,M
1996,5,Adrian Davis,Carnethy HRC,2:53:51,M
1996,6,Des Crowe,Shettleston Harriers,2:54:06,M
1996,7,John Hepburn,Dundee Hawkhill Harriers,2:54:51,M
1996,8,Dave Cummins,Shettleston Harriers,2:55:06,M
1996,9,A Lewsley,Keswick Athletic Club,2:58:00,MV
1996,10,Damon Rodwell,Westerlands,3:00:34,M
1996,11,Allan Wilson,Dundee Hawkhill Harriers,3:01:31,M
1996,12,Niall Martin,Lomond Hill Runners,3:03:30,M
1996,13,Brian Waldie,Carnethy HRC,3:03:42,MS
1996,14,D Hirst,Deeside Runners,3:05:39,M
1996,15,Mark Johnston,Carnethy HRC,3:05:58,M
1996,16,G MacInnes,Carnethy HRC,3:07:43,M
1996,17,John Gallagher,Ochil Hill Runners,3:11:06,M
1996,18,S Birkenshaw,Wcoc,3:12:39,M
1996,19,David Duncan,Ochil Hill Runners,3:13:04,MV
1996,20,R McInroy,Clydesdale Harriers,3:13:10,MV
1996,21,A Cassidy,Fife Athletic Club,3:13:37,MV
1996,22,Phil Mowbray,Hunters Bog Trotters,3:15:06,M
1996,23,W Sullivan,,3:16:03,M
1996,24,Steve Bell,Westerlands,3:16:26,M
1996,25,Brad Connor,Carnethy HRC,3:17:34,M
1996,26,Geoff Simpson,Hunters Bog Trotters,3:18:10,M
1996,27,Adam Anderson,Solway Running Club,3:18:22,M
1996,28,John Blair-fish,Carnethy HRC,3:18:56,MV
1996,29,Ronnie Gallagher,Westerlands,3:19:29,M
1996,30,Keith Adams,Westerlands,3:20:16,MV
1996,31,D Simmons,Livingston and District Athletic Club,3:21:19,M
1996,32,John Donnelly,Shettleston Harriers,3:22:06,M
1996,33,Jamie Thin,Carmethy Hr,3:22:53,M
1996,34,J Durnin,Dundee Wawkhill Harr,3:23:16,MV
1996,35,N Davies,Borrowdale Fell Runners,3:23:46,FV
1996,36,Charlie Love,Dundee Hawkhill Harriers,3:23:59,MS
1996,37,A Patience,Carnethy HRC,3:24:41,M
1996,38,J Bowers,Ochil Hill Runners,3:24:54,M
1996,39,Willie Gibson,Carnethy HRC,3:25:22,M
1996,40,N Leslie,,3:27:06,M
1996,41,S McKenna,Ambleside Athletic Club,3:27:57,M
1996,42,Tom Ross,Fife Athletic Club,3:30:19,MV
1996,43,D Shiell,Carnethy HRC,3:30:27,M
1996,44,A Walker,Navy - Royal Naval Athletic Club,3:31:23,M
1996,45,Brian Landels,Fife Athletic Club,3:32:31,M
1996,46,G Holden,Fife Athletic Club,3:33:38,MS
