FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime,,,,,,,,
93,Hooper,Mark,Carnethy,MSEN,00:56:11,,,,,,,,
94,Mcronald,Andrew,Unattached,M40,00:56:45,,,,,,,,
95,Taylor,Dan,Todmorden Harriers,M40,00:56:58,,,,,,,,
96,Smith,Bruce,Carnethy,M55,00:57:08,,,,,,,,
97,Thomson,Iain,Lomonds,MSEN,00:57:26,,,,,,,,
98,Murray,Chris,Unattached,M45,00:57:34,,,,,,,,
99,Mcintyre,Gordon,Cambuslang Harriers,MSEN,00:57:42,,,,,,,,
100,Mason,David,Linlithgow AC,M55,00:57:55,,,,,,,,
101,Molero,Luis,Lauderdale Limpers ,M40,00:58:20,,,,,,,,
102,Roberts,Mark,HBT,M45,00:58:22,,,,,,,,
103,Kinninmonth,Alexander,Carnethy,M40,00:58:46,,,,,,,,
104,Pryde,Gordon,Lomonds,M60,00:58:47,,,,,,,,
105,Turner,Judith,PH Racing Club,W45,00:58:49,,,,,,,,
106,Smith,Brian,Moorfoot Runners,M45,00:58:54,,,,,,,,
107,Mulholland,Arthur,East Kilbride AC,M55,00:59:12,,,,,,,,
108,Stevenson,Tyler,Lomonds,MU21,00:59:19,,,,,,,,
109,Macvarish,Christine,Lothian ,W45,00:59:53,,,,,,,,
110,Upward,Mark,Portobello RC,M55,01:00:19,,,,,,,,
111,Cameron,Gordon,Carnethy,M60,01:00:29,,,,,,,,
112,Holschbach,Kora,Edinburgh Uni H&H,WU21,01:00:30,,,,,,,,
113,Carr,Gillian,Moorfoot Runners,W45,01:00:50,,,,,,,,
114,Stable,Charles,Musselburgh,M50,01:00:56,,,,,,,,
115,Pugh,Roderick,Kilmarnock Harriers,M65,01:00:58,,,,,,,,
116,Mcaleese,Rachel,Lauderdale Limpers ,WSEN,01:01:15,,,,,,,,
117,Friedrich,Juliane,Penicuik Harriers,WSEN,01:01:23,,,,,,,,
118,Rathjen,Jon,HBT,M50,01:01:26,,,,,,,,
119,White,Vicki,HBT,W40,01:01:37,,,,,,,,
120,Anderson,Laurie,Lomonds,M60,01:01:46,,,,,,,,
121,Thomas,Neil,HBT,M50,01:01:52,,,,,,,,
122,Ritchie,Bozza,Unattached,M40,01:02:09,,,,,,,,
123,Smith,Nick,Carnethy,M45,01:02:17,,,,,,,,
124,Macwilliam,Craig,Kirkintilloch Olympians,M55,01:02:50,,,,,,,,
125,Adams,Louise,Edinburgh Uni H&H,WU23,01:03:38,,,,,,,,
126,Fortune,Carole,Gala Harriers,W55,01:03:56,,,,,,,,
127,Mcmillan,Stuart,Carnethy,M45,01:03:57,,,,,,,,
128,Elder,Alan,Moorfoot Runners,M55,01:04:00,,,,,,,,
129,Weir,Alan,Lothian ,M50,01:04:13,,,,,,,,
130,Duncan,David,Ochil Hill Runners,M65,01:04:20,,,,,,,,
131,Taylor,Gordie,Highland Hill Runners,M55,01:04:22,,,,,,,,
132,Mcwalter,Heather,Unattached,W45,01:05:00,,,,,,,,
133,Stavert,Andrew,Portobello RC,M55,01:05:21,,,,,,,,
134,Broadhurst,Lorna,Harmeny AC,W60,01:05:42,,,,,,,,
135,Hadfield,Richard,Portobello RC,M50,01:05:46,,,,,,,,
136,Jeannin,Vincent,Lenzie Velo,MSEN,01:06:19,,,,,,,,
137,Hartree,Mark,Carnethy,M50,01:06:49,,,,,,,,
138,Robertson,John,Lothian ,M55,01:06:49,,,,,,,,
139,Brennan,Brian,Westerlands CCC,M65,01:07:12,,,,,,,,
140,Cumberland,Rachel,Vegan Runners UK,WSEN,01:09:13,,,,,,,,
141,Wilson,Alison,Horsforth Fellandale Club,W50,01:09:26,,,,,,,,
142,Eadie,Gordon,Carnethy,M60,01:09:37,,,,,,,,
143,Parry,Fen,Portobello RC,W55,01:10:11,,,,,,,,
144,Godfrey,Kevin,Lothian ,M55,01:10:41,,,,,,,,
145,Mcadam,Sarah,Portobello RC,WSEN,01:11:04,,,,,,,,
146,Chapman,Mark,Unattached,M50,01:11:39,,,,,,,,
147,Ledlie,Colin,Carnethy,M55,01:13:07,,,,,,,,
148,Rathjen,Sandra,HBT,W50,01:13:54,,,,,,,,
149,Gray,Kirsty,Lothian ,W40,01:16:11,,,,,,,,
150,Mcadam,Pauline,Teviotdale Harriers,W65,01:19:10,,,,,,,,
151,Strain,Sheila,HBT,W70,01:32:42,,,,,,,,
